Classification;Rule;3.14;3.7.1;SWP;Equivalent to;Part of;Contains;Opposite of;SonarQube-Tags
minor;The default unnamed package should not be used;X;X;X;;;;;Java, convention
major;The diamond operator ("<>") should be used;X;X;;;;;;Java, clumsy
minor;The members of an interface declaration or class should appear in a pre-defined order;X;X;;;;;;Java, convention
critical;The non-serializable super class of a "Serializable" class should have a no-argument constructor;X;X;;;;;;Java, bug, serialization
critical;The Object.finalize() method should not be called;X;X;;;;;;Java, cert, cwe, security
major;The Object.finalize() method should not be overriden;X;X;;;;;;Java, cert, unpredictable
major;The signature of "finalize()" should match that of "Object.finalize()";X;X;;;;;;Java, pitfall
major;The ternary operator should not be used;X;X;;;;;;Java, brain-overload
blocker;The value returned from a stream read should be checked;X;X;;;;;;Java, bug, cert
critical;Thread.run() should not be called directly;X;X;;;;;;Java, bug, cert, cwe, multi-threading
major;Threads should not be started in constructors;X;X;;;;;;Java, multi-threading, pitfall
blocker;Throwable and Error should not be caught;X;X;;;;;;Java, cert, cwe, error-handling, security
critical;Throwable.printStackTrace(...) should not be called;X;X;;;;;;Java, error-handling, security
minor;Throws declarations should not be superfluous;X;X;;;;;;Java, clumsy, unused
major;Try-catch blocks should not be nested;X;X;;;;;;Java, confusing
major;Try-with-resources should be used;X;;;;;;;Java, cert, pitfall
major;Two branches in the same conditional structure should not have exactly the same implementation;X;X;;;;;;Java, design, suspicious
minor;Type parameter names should comply with a naming convention;X;X;;;;;;Java, convention
critical;Untrusted data should not be stored in sessions;X;X;;;;;;Java, cwe, security
major;Unused "private" fields should be removed;X;X;;;;;;Java, cert, unused
major;Unused "private" methods should be removed;X;X;;;;;;Java, cert, unused
major;Unused labels should be removed;X;X;;;;;;Java, cert, misra, unused
major;Unused local variables should be removed;X;X;;;;;;Java, unused
major;Unused method parameters should be removed;X;X;X;;;;;Java, cert, misra, unused
major;Unused protected methods should be removed;X;X;;;;;;Java, unused
major;Unused type parameters should be removed;X;X;;;;;;Java, cert, unused
major;Useless "if(true) {...}" and "if(false){...}" blocks should be removed;X;X;X;;;;;Java, bug, cwe, misra, security
minor;Useless imports should be removed;X;X;;;;;;Java, unused
major;Useless parentheses around expressions should be removed to prevent any misunderstanding;X;X;;;;;;Java, confusing
major;Utility classes should not have public constructors;X;X;;;;;;Java, design
critical;Values passed to LDAP queries should be sanitized;X;X;;;;;;Java, cert, cwe, owasp-a1, security
critical;Values passed to OS commands should be sanitized;X;X;;;;;;Java, cwe, owasp-a1, sans-top25-insecure, security
critical;Values passed to SQL commands should be sanitized;X;X;X;;;;;Java, cert, cwe, hibernate, owasp-a1, sans-top25-insecure, security, sql
critical;Values should not be uselessly incremented;X;X;;;;;;Java, bug
major;Variables should not be declared before they are relevant;X;X;;;;;;Java, brain-overload
critical / major;Variables should not be self-assigned;X;X;X;;;;;Java, bug, cert
critical;Web applications should not have a "main" method;X;X;;;;;;Java, cert, cwe, jee, security
critical;Web applications should use validation filters;X;;;;;;;Java, injection, owasp-a1, security
major;Wildcard imports should not be used;X;X;;;;;;Java, pitfall
major;Disallowed methods should not be used;(X);X;;;;;;Java
major;Architectural constraints should be followed;(X);X;;;;;;Java
major;Comments matching a regular expression should be handled;(X);;;;;;;Java
critical;Custom resources should be closed;(X);;;;;;;Java, denial-of-service, security
major;Disallowed dependencies should not be used;(X);;;;;;;Java, maven
minor;Literal boolean values should not be used in condition expressions;;X;;;;;;Java, clumsy
