Classification;Rule;3.14;3.7.1;SWP;Equivalent to;Part of;Contains;Opposite of;SonarQube-Tags
major;"Thread.sleep" should not be used in tests;X;X;;;;;;Java, bad-practice
major;"Threads" should not be used where "Runnables" are expected;X;X;;;;;;Java, multi-threading, pitfall
critical;"toArray" should be passed an array of the proper type;X;;;;;;;Java, bug
info;"TODO" tags should be handled;X;X;X;;;;;Java
critical;"toString()" and "clone()" methods should not return null;X;X;X;;;;;Java, bug, cwe
minor;"toString()" should never be called on a String object;X;X;;;;;;Java, clumsy, finding
major;"URL.hashCode" and "URL.equals" should be avoided;X;X;;;;;;Java, performance
critical;"wait(...)" should be used instead of "Thread.sleep(...)" when a lock is held;X;X;;;;;;Java, cert, multi-threading, performance, security
critical;"wait(...)", "notify()" and "notifyAll()" methods should only be called when a lock is obviously held on an object;X;X;;;;;;Java, bug, multi-threading
major;@FunctionalInterface annotation should be used to flag Single Abstract Method interfaces;X;X;;;;;;Java, java8
blocker;A "for" loop update clause should move the counter in the right direction;X;X;X;;;;;Java, bug, cert
minor;A "while" loop should be used instead of a "for" loop;X;X;;;;;;Java, clumsy
minor;A close curly brace should be located at the beginning of a line;X;X;X;;;;;Java, convention
major;A field should not duplicate the name of its containing class;X;X;X;;;;;Java, brain-overload
minor;Abstract class names should comply with a naming convention;X;X;;;;;;Java, convention
major / minor;Abstract classes without fields should be converted to interfaces;X;X;X;;;;;Java, java8
major;Abstract methods should not be redundant;X;;;;;;;Java, confusing
minor;An abstract class should have both abstract and concrete methods;X;X;;;;;;Java, convention
minor;An open curly brace should be located at the beginning of a line;X;X;;;;;;Java, convention
minor / major;An open curly brace should be located at the end of a line;X;X;X;;;;;Java, convention
minor;Annotation arguments should appear in the order in which they were declared;X;X;;;;;;Java, convention
major;Annotation repetitions should not be wrapped;X;X;;;;;;Java, java8
major;Anonymous inner classes containing only one method should become lambdas;X;X;;;;;;Java, java8
minor;Array designators "[]" should be located after the type in method signatures;X;X;;;;;;Java, convention
minor;Array designators "[]" should be on the type, not the variable;X;X;;;;;;Java, convention
minor;Artifact ids should follow a naming convention;X;;;;;;;Java, convention, maven
critical;Assertions should be complete;X;X;;;;;;Java, bug, tests
major;Assignments should not be made from within sub-expressions;X;X;;;;;;Java, cert, cwe, misra, suspicious
blocker;Blocks should be synchronized on "private final" fields;X;X;;;;;;Java, cert, cwe, multi-threading, security
minor;Boolean checks should not be inverted;X;X;;;;;;Java, pitfall
minor;Boolean literals should not be redundant;X;;;;;;;Java, clumsy
major;Boxing and unboxing should not be immediately reversed;X;X;;;;;;Java, clumsy
major;Branches should have sufficient coverage by unit tests;X;X;;;;;;Java, bad-practice
major;Case insensitive string comparisons should be made without intermediate upper or lower casing;X;X;;;;;;Java, clumsy
major;Catches should be combined;X;;;;;;;Java, clumsy
major;Checked Exception should not be thrown;X;X;;;;;;Java, error-handling
major;Child class fields should not shadow parent class fields;X;X;;;;;;Java, confusing
major;Child class methods named for parent class methods should be overrides;X;;;;;;;Java, pitfall
minor;Class names should comply with a naming convention;X;X;X;;EJS-018;;;Java, convention
major;Class names should not shadow interfaces or superclasses;X;X;X;;;;;Java, pitfall
major;Class variable fields should not have public accessibility;X;X;;;;;;Java, cwe
major;Classes and enums with private members should have a constructor;X;X;;;;;;Java, pitfall
major;Classes and methods that rely on the default system encoding should not be used;X;X;;;;;;Java, cert, unpredictable
major;Classes extending java.lang.Thread should override the "run" method;X;X;;;;;;Java, multi-threading, pitfall
major;Classes from "sun.*" packages should not be used;X;X;X;;;;;Java, lock-in, pitfall
major;Classes named like "Exception" should extend "Exception" or a subclass;X;X;;;;;;Java, convention, pitfall
critical;Classes should not be compared by name;X;X;;;;;;Java, bug, cert, cwe, security
major;Classes should not be coupled to too many other classes (Single Responsibility Principle);X;X;;;;;;Java, brain-overload
major;Classes should not be empty;X;X;X;;;;;Java, clumsy
critical;Classes should not be loaded dynamically;X;X;;;;;;Java, cwe, owasp-a1, security
major;Classes should not be too complex;X;X;X;;;;;Java, brain-overload
major;Classes should not have too many methods;X;X;;;EJS-069;;;Java, brain-overload
critical;'Classes that don''t define "hashCode()" should not be used in hashes';X;;;;;;;Java, bug
major;Classes that override "clone" should be "Cloneable" and call "super.clone()";X;X;;;;;;Java, cert, cwe
major;Classes with only "static" methods should not be instantiated;X;X;;;;;;Java, clumsy
major;Classes without "public" constructors should be "final";X;X;;;;;;Java, design
minor / major;Close curly brace and the next "else", "catch" and "finally" keywords should be located on the same line;X;X;X;;;;;Java, convention
minor;Close curly brace and the next "else", "catch" and "finally" keywords should be on two different lines;X;X;;;;;;Java, convention
major;Collapsible "if" statements should be merged;X;X;X;;;;;Java, clumsy
major;Collection.isEmpty() should be used to test for emptiness;X;X;;;;;;Java, clumsy
critical;Collections should not be passed as arguments to their own methods;X;X;X;;;;;Java, bug
major;Collections.emptyList(), emptyMap() and emptySet() should be used instead of Collections.EMPTY_LIST, EMPTY_MAP and EMPTY_SET;X;X;;;;;;Java, obsolete, pitfall
info;Comments should not be located at the end of lines of code;X;X;;;EJS-061;;EJS-062;Java, convention
major;Comparators should be "Serializable";X;X;;;;;;Java, pitfall, serialization
critical;Conditions should not unconditionally evaluate to "TRUE" or to "FALSE";X;X;;;;;;Java, bug, cert, cwe, misra
minor;Constant names should comply with a naming convention;X;X;X;EJS-031;;;;Java, convention
minor;Constants should not be defined in interfaces;X;X;;;;;;Java, bad-practice
major;Constructor injection should be used instead of field injection;X;;;;;;;Java, design, pitfall
major;Constructors should not be used to instantiate "String" and primitive-wrapper classes;X;;;;;;;Java, performance
major;Constructors should only call non-overridable methods;X;X;;EJS-081;;;;Java, cert, pitfall
major;Control flow statements "if", "for", "while", "switch" and "try" should not be nested too deeply;X;X;X;;;;;Java, brain-overload
major / minor;Control structures should use curly braces;X;X;X;;;;;Java, cert, misra, pitfall
critical;Cookies should be "secure";X;X;;;;;;Java, cwe, owasp-a2, owasp-a6, security
blocker;Copyright and license headers should be defined;X;X;;;;;;Java
critical;Credentials should not be hard-coded;X;X;X;;;;;Java, cert, cwe, owasp-a2, sans-top25-porous, security
critical;Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding);X;X;;;;;;Java, cwe, owasp-a5, owasp-a6, sans-top25-porous, security
critical;Custom serialization method signatures should meet requirements;X;X;;;;;;Java, bug, cert
major;Cycles between packages should be removed;X;X;X;;;;;Java, design
major;Dead stores should be removed;X;X;;;;;;Java, cert, cwe, suspicious, unused
major;Declarations should use Java collection interfaces such as "List" rather than specific implementation classes such as "LinkedList";X;X;;;;;;Java, bad-practice
blocker;Default EJB interceptors should be declared in "ejb-jar.xml";X;;;;;;;Java, bug
major;Dependencies should not have "system" scope;X;;;;;;;Java, lock-in, maven
major;Deprecated "${pom}" properties should not be used;X;;;;;;;Java, maven, obsolete
major;Deprecated classes and interfaces should not be extended/implemented;X;X;;;;;;DEPRECATED, Java, cwe, obsolete
info;Deprecated code should be removed eventually;X;X;;;;;;Java, obsolete
major;Deprecated elements should have both the annotation and the Javadoc tag;X;X;;;;;;Java, bad-practice, obsolete
critical;Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting;X;X;;;;;;Java, bug
major;EJB interceptor exclusions should be declared as annotations;X;;;;;;;Java, pitfall
major;Empty arrays and collections should be returned instead of null;X;X;;;;;;Java, cert
minor;Empty statements should be removed;X;X;;;;;;Java, cert, misra, unused
major;Enumeration should not be implemented;X;X;;;;;;Java, obsolete
major / critical;Equality operators should not be used in "for" loop termination conditions / Relational operators should be used in "for" loop termination conditions;X;X;;;;;;Java, cert, cwe, misra, suspicious / Java, bug, cert, cwe, misra
major;Escaped Unicode characters should not be used;X;X;;;;;;Java, confusing
major;Exception classes should be immutable;X;X;;;;;;Java, error-handling
major;Exception handlers should preserve the original exceptions;X;X;;EJS-086;;;;Java, cert, error-handling, suspicious
major;Exception types should not be tested using "instanceof" in catch blocks;X;X;;;;;;Java, cert, error-handling
critical;Exceptions should not be thrown from servlet methods;X;X;;;;;;Java, cert, cwe, error-handling, owasp-a6, security
major;Exceptions should not be thrown in finally blocks;X;X;;;;;;Java, cert, error-handling, suspicious
major;Execution of the Garbage Collector should be triggered only by the JVM;X;X;;;;;;Java, bad-practice, unpredictable
major;Exit methods should not be called;X;X;;;;;;Java, cert, cwe, suspicious
major;Expressions should not be too complex;X;X;X;;;;;Java, brain-overload
minor;Extensions and implementations should not be redundant;X;X;;;;;;Java, clumsy
major;Failed unit tests should be fixed;X;X;;;;;;Java, bug
minor;Field names should comply with a naming convention;X;X;X;;EJS-025;;;Java, convention
major;Fields and methods should not have conflicting names;X;X;;;;;;DEPRECATED, Java, brain-overload
critical;Fields in a "Serializable" class should either be transient or serializable;X;X;;;;;;Java, bug, cwe, serialization
minor;Fields in non-serializable classes should not be "transient";X;X;;;;;;Java, serialization, unused
minor;Fields should not be initialized to default values;X;X;;;;;;Java, convention, finding
minor;Files should contain an empty new line at the end;X;X;;;;;;Java, convention
major;Files should contain only one top-level class or interface each;X;X;;;;;;Java, brain-overload
major;Files should not be empty;X;X;;;;;;Java, unused
major;Files should not have too many lines;X;X;;;;;;Java, brain-overload
critical;Floating point numbers should not be tested for equality;X;X;X;;;;;Java, bug, misra
info;Functions should not be defined with a variable number of arguments;X;;;;;;;Java, cert, misra, pitfall
major;Future keywords should not be used as names;X;X;;;;;;Java, obsolete, pitfall
critical / major;Generic exceptions should never be thrown;X;X;X;;;;;Java, cert, cwe, error-handling, security
major;Generic wildcard types should not be used in return parameters;X;X;;;;;;Java, pitfall
critical;Getters and setters should be synchronized in pairs;X;;;;;;;Java, bug, cert, multi-threading
minor;Group ids should follow a naming convention;X;;;;;;;Java, convention, maven
critical;HTTP referers should not be relied on;X;X;;;;;;Java, cwe, owasp-a2, sans-top25-porous, security
critical;Identical expressions should not be used on both sides of a binary operator;X;X;;;;;;Java, bug, cert
critical;IllegalMonitorStateException should not be caught;X;X;;;;;;Java, bug, multi-threading
critical;Inappropriate "Collection" calls should not be made;X;X;X;;;;;Java, bug, cert
critical;Inappropriate regular expressions should not be used;X;;;;;;;Java, bug
major;Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression;X;X;X;;;;;Java, cert, misra
major;Inheritance tree of classes should not be too deep;X;X;;;;;;Java, design
major;Inner class calls to super class methods should be unambiguous;X;X;;;;;;Java, pitfall
major;Inner classes should not have too many lines;X;X;;;EJS-069;;;Java, brain-overload
